,ID,0,1,2,3,4,5,C,X,LAST_STATUS,LAST_MONTH,COUNT_MONTHS,total_delay,C_RATING,CLIENT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE,EMPLOYED
2960,5008939,0,0,0,0,0,0,1,0,C,0,1.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2962,5008941,0,0,0,0,0,0,8,0,C,0,8.0,0,AA,GOOD,F,N,Y,0.0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519.0,-3234.0,1.0,0.0,0.0,0.0,Laborers,1.0,42.0,Y
2988,5008984,0,0,0,0,0,0,3,56,C,0,3.0,0,AA,GOOD,M,Y,Y,0.0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874.0,-2381.0,1.0,0.0,1.0,0.0,Drivers,2.0,57.0,Y
3016,5009029,0,0,0,0,0,0,15,1,C,0,15.0,0,AA,GOOD,F,Y,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14450.0,-2777.0,1.0,0.0,0.0,0.0,Laborers,2.0,39.0,Y
3056,5009083,0,0,0,0,0,0,39,9,C,-4,39.0,0,AA,GOOD,M,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20531.0,-5730.0,1.0,0.0,0.0,0.0,Drivers,2.0,56.0,Y
3145,5009208,0,0,0,0,0,0,24,18,C,0,24.0,0,AA,GOOD,F,N,N,0.0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953.0,-8684.0,1.0,1.0,1.0,0.0,Accountants,2.0,57.0,Y
3166,5009244,0,0,0,0,0,0,7,2,C,0,7.0,0,AA,GOOD,F,N,N,0.0,74250.0,Working,Higher education,Separated,Municipal apartment,-19082.0,-5243.0,1.0,0.0,1.0,0.0,Core staff,1.0,52.0,Y
3207,5009294,0,0,0,0,0,0,26,5,C,0,26.0,0,AA,GOOD,F,N,N,0.0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15140.0,-4816.0,1.0,0.0,1.0,0.0,Cleaning staff,2.0,41.0,Y
3297,5009419,0,0,0,0,0,0,4,0,C,-10,4.0,0,AA,GOOD,F,N,N,0.0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19304.0,-464.0,1.0,1.0,1.0,0.0,Core staff,1.0,52.0,Y
3309,5009436,0,0,0,0,0,0,4,0,C,0,4.0,0,AA,GOOD,F,N,N,0.0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23480.0,365243.0,1.0,0.0,0.0,0.0,,2.0,64.0,N
3311,5009438,0,0,0,0,0,0,5,0,C,-5,5.0,0,AA,GOOD,F,N,N,0.0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23480.0,365243.0,1.0,0.0,0.0,0.0,,2.0,64.0,N
3312,5009439,0,0,0,0,0,0,5,0,C,-36,5.0,0,AA,GOOD,F,N,N,0.0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23480.0,365243.0,1.0,0.0,0.0,0.0,,2.0,64.0,N
3313,5009440,0,0,0,0,0,0,5,0,C,-43,5.0,0,AA,GOOD,F,N,N,0.0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23480.0,365243.0,1.0,0.0,0.0,0.0,,2.0,64.0,N
3344,5009487,0,0,0,0,0,0,53,6,C,0,53.0,0,AA,GOOD,F,N,N,2.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9736.0,-2870.0,1.0,0.0,0.0,0.0,,4.0,26.0,Y
3416,5009592,0,0,0,0,0,0,8,0,C,-10,8.0,0,AA,GOOD,F,N,N,0.0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-23532.0,365243.0,1.0,0.0,1.0,0.0,,1.0,64.0,N
3423,5009602,0,0,0,0,0,0,36,7,C,0,36.0,0,AA,GOOD,F,Y,N,0.0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13455.0,-2748.0,1.0,1.0,1.0,0.0,Sales staff,2.0,36.0,Y
3434,5009620,0,0,0,0,0,0,42,0,C,0,42.0,0,AA,GOOD,M,Y,N,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19056.0,-99.0,1.0,1.0,0.0,0.0,Drivers,2.0,52.0,Y
3440,5009628,13,8,1,1,1,4,32,0,C,0,60.0,24,DD,BAD,F,N,N,0.0,238500.0,Working,Secondary / secondary special,Married,House / apartment,-19305.0,-3296.0,1.0,1.0,0.0,0.0,Laborers,2.0,52.0,Y
3517,5009732,0,0,0,0,0,0,43,7,C,0,43.0,0,AA,GOOD,F,Y,N,0.0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19341.0,-7314.0,1.0,1.0,1.0,0.0,Managers,2.0,52.0,Y
3519,5009734,0,0,0,0,0,0,43,7,C,0,43.0,0,AA,GOOD,F,Y,N,0.0,270000.0,Commercial associate,Higher education,Married,House / apartment,-19341.0,-7314.0,1.0,1.0,1.0,0.0,Managers,2.0,52.0,Y
3528,5009744,4,1,3,2,2,8,0,0,5,0,20.0,12,DD,BAD,F,Y,N,0.0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586.0,1.0,1.0,1.0,0.0,,2.0,37.0,Y
3530,5009746,4,1,3,2,2,13,31,0,C,0,56.0,12,DD,BAD,F,Y,N,0.0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586.0,1.0,1.0,1.0,0.0,,2.0,37.0,Y
3532,5009749,4,1,3,2,2,4,0,0,5,0,16.0,12,DD,BAD,F,Y,N,0.0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586.0,1.0,1.0,1.0,0.0,,2.0,37.0,Y
3535,5009752,4,1,3,2,2,13,5,0,C,0,30.0,12,DD,BAD,F,Y,N,0.0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586.0,1.0,1.0,1.0,0.0,,2.0,37.0,Y
3536,5009753,4,1,3,2,2,13,12,0,C,0,37.0,12,DD,BAD,F,Y,N,0.0,315000.0,Pensioner,Higher education,Married,House / apartment,-13557.0,-586.0,1.0,1.0,1.0,0.0,,2.0,37.0,Y
3537,5009754,4,1,3,2,2,13,12,0,C,0,37.0,12,DD,BAD,F,Y,N,0.0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557.0,-586.0,1.0,1.0,1.0,0.0,,2.0,37.0,Y
3633,5009894,6,0,0,0,0,11,0,3,X,0,17.0,6,EE,BAD,F,N,N,0.0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22134.0,365243.0,1.0,0.0,0.0,0.0,,2.0,60.0,N
3644,5009911,0,0,0,0,0,0,39,10,C,0,39.0,0,AA,GOOD,M,Y,N,0.0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19120.0,-3661.0,1.0,0.0,0.0,0.0,Drivers,2.0,52.0,Y
3695,5009988,0,0,0,0,0,0,5,21,C,-25,5.0,0,AA,GOOD,M,Y,Y,0.0,495000.0,Pensioner,Higher education,Single / not married,House / apartment,-22867.0,365243.0,1.0,0.0,0.0,0.0,,1.0,62.0,N
3749,5010058,0,0,0,0,0,0,44,12,C,0,44.0,0,AA,GOOD,M,Y,Y,0.0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16975.0,-2504.0,1.0,0.0,1.0,1.0,Laborers,1.0,46.0,Y
3750,5010059,0,0,0,0,0,0,6,13,C,-42,6.0,0,AA,GOOD,F,N,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573.0,-4574.0,1.0,0.0,0.0,0.0,,2.0,45.0,Y
3780,5010101,0,0,0,0,0,0,6,34,C,0,6.0,0,AA,GOOD,F,Y,Y,2.0,306000.0,State servant,Higher education,Married,House / apartment,-13541.0,-3965.0,1.0,0.0,0.0,0.0,Core staff,4.0,37.0,Y
3801,5010126,0,0,0,0,0,0,9,1,C,0,9.0,0,AA,GOOD,F,N,Y,2.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12927.0,-2078.0,1.0,1.0,1.0,1.0,Managers,4.0,35.0,Y
3818,5010150,0,0,0,0,0,0,29,1,C,-25,29.0,0,AA,GOOD,F,Y,Y,1.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12500.0,-5762.0,1.0,0.0,0.0,0.0,Managers,3.0,34.0,Y
3820,5010152,0,0,0,0,0,0,12,9,C,0,12.0,0,AA,GOOD,F,Y,Y,1.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12500.0,-5762.0,1.0,0.0,0.0,0.0,Managers,3.0,34.0,Y
3821,5010153,0,0,0,0,0,0,27,9,C,0,27.0,0,AA,GOOD,F,Y,Y,1.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12500.0,-5762.0,1.0,0.0,0.0,0.0,Managers,3.0,34.0,Y
3822,5010154,0,0,0,0,0,0,24,1,C,0,24.0,0,AA,GOOD,F,Y,Y,1.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-12500.0,-5762.0,1.0,0.0,0.0,0.0,Managers,3.0,34.0,Y
3838,5010176,0,0,0,0,0,0,3,0,C,-15,3.0,0,AA,GOOD,M,Y,Y,2.0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18376.0,-4270.0,1.0,1.0,1.0,1.0,,4.0,50.0,Y
3841,5010179,0,0,0,0,0,0,3,0,C,-25,3.0,0,AA,GOOD,M,Y,Y,2.0,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18376.0,-4270.0,1.0,1.0,1.0,1.0,,4.0,50.0,Y
3892,5010247,0,0,0,0,0,0,2,0,C,-36,2.0,0,AA,GOOD,M,Y,Y,0.0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-20145.0,-1043.0,1.0,0.0,0.0,0.0,Laborers,2.0,55.0,Y
3896,5010253,0,0,0,0,0,0,9,22,C,0,9.0,0,AA,GOOD,F,Y,Y,0.0,247500.0,State servant,Secondary / secondary special,Married,House / apartment,-19714.0,-8348.0,1.0,0.0,0.0,0.0,Managers,2.0,54.0,Y
3913,5010275,0,0,0,0,0,0,13,0,C,-17,13.0,0,AA,GOOD,M,N,Y,1.0,562500.0,Working,Incomplete higher,Married,House / apartment,-13790.0,-5639.0,1.0,1.0,1.0,0.0,,3.0,37.0,Y
3919,5010283,0,0,0,0,0,0,4,0,C,-2,4.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3920,5010284,0,0,0,0,0,0,2,0,C,-7,2.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3921,5010285,0,0,0,0,0,0,2,0,C,-6,2.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3922,5010286,0,0,0,0,0,0,6,0,C,0,6.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3923,5010287,0,0,0,0,0,0,4,0,C,0,4.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3924,5010288,0,0,0,0,0,0,2,0,C,-2,2.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3925,5010289,0,0,0,0,0,0,2,0,C,0,2.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3926,5010290,0,0,0,0,0,0,1,0,C,0,1.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3927,5010292,0,0,0,0,0,0,2,0,C,-1,2.0,0,AA,GOOD,F,N,Y,0.0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20387.0,365243.0,1.0,0.0,0.0,1.0,,2.0,55.0,N
3940,5010306,0,0,0,0,0,0,12,12,C,0,12.0,0,AA,GOOD,F,N,Y,0.0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23413.0,365243.0,1.0,0.0,0.0,0.0,,2.0,64.0,N
4026,5010414,0,0,0,0,0,0,4,14,C,0,4.0,0,AA,GOOD,M,Y,N,1.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-13425.0,-3143.0,1.0,0.0,0.0,0.0,Drivers,2.0,36.0,Y
4028,5010417,0,0,0,0,0,0,13,14,C,0,13.0,0,AA,GOOD,M,Y,N,1.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-13425.0,-3143.0,1.0,0.0,0.0,0.0,Drivers,2.0,36.0,Y
4130,5010556,0,0,0,0,0,0,8,51,C,0,8.0,0,AA,GOOD,M,Y,Y,0.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15774.0,-2901.0,1.0,0.0,1.0,0.0,High skill tech staff,2.0,43.0,Y
4238,5010685,0,0,0,0,0,0,11,26,C,0,11.0,0,AA,GOOD,M,Y,Y,0.0,292500.0,Working,Higher education,Married,House / apartment,-10297.0,-2231.0,1.0,0.0,0.0,0.0,Managers,2.0,28.0,Y
4247,5010697,0,0,0,0,0,0,24,17,C,0,24.0,0,AA,GOOD,F,Y,Y,2.0,292500.0,Commercial associate,Higher education,Married,House / apartment,-13958.0,-3021.0,1.0,0.0,0.0,0.0,Sales staff,4.0,38.0,Y
4249,5010702,0,0,0,0,0,0,4,17,C,0,4.0,0,AA,GOOD,F,Y,Y,2.0,292500.0,Commercial associate,Higher education,Married,House / apartment,-13958.0,-3021.0,1.0,0.0,0.0,0.0,Sales staff,4.0,38.0,Y
4261,5010724,0,0,0,0,0,0,38,1,C,0,38.0,0,AA,GOOD,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-21396.0,-1013.0,1.0,0.0,0.0,1.0,High skill tech staff,2.0,58.0,Y
4301,5010782,0,0,0,0,0,0,22,9,C,0,22.0,0,AA,GOOD,F,Y,Y,1.0,157500.0,Commercial associate,Higher education,Married,House / apartment,-14474.0,-2259.0,1.0,0.0,0.0,1.0,Core staff,3.0,39.0,Y
4353,5010861,0,0,0,0,0,0,13,0,C,-24,13.0,0,AA,GOOD,F,Y,Y,1.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14045.0,-1043.0,1.0,0.0,0.0,0.0,Sales staff,3.0,38.0,Y
4356,5010864,10,1,1,1,1,3,35,0,C,0,52.0,14,DD,BAD,M,Y,Y,1.0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173.0,-678.0,1.0,0.0,1.0,1.0,Core staff,3.0,49.0,Y
4359,5010868,10,1,1,1,1,3,0,0,5,0,17.0,14,DD,BAD,M,Y,Y,1.0,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173.0,-678.0,1.0,0.0,1.0,1.0,Core staff,3.0,49.0,Y
4360,5010869,10,1,1,1,1,3,0,0,5,0,17.0,14,DD,BAD,M,Y,Y,1.0,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173.0,-678.0,1.0,0.0,1.0,1.0,Core staff,1.0,49.0,Y
4383,5010898,0,0,0,0,0,0,16,10,C,0,16.0,0,AA,GOOD,M,Y,Y,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-22720.0,-860.0,1.0,0.0,1.0,1.0,Low-skill Laborers,2.0,62.0,Y
4413,5010943,0,0,0,0,0,0,46,15,C,0,46.0,0,AA,GOOD,F,N,N,0.0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22828.0,365243.0,1.0,0.0,0.0,0.0,,2.0,62.0,N
4442,5010989,0,0,0,0,0,0,2,15,C,0,2.0,0,AA,GOOD,F,N,Y,0.0,121500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11118.0,-3873.0,1.0,1.0,0.0,0.0,Sales staff,1.0,30.0,Y
7142,5018453,0,0,0,0,0,0,2,0,C,-29,2.0,0,AA,GOOD,F,N,Y,0.0,101250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22059.0,365243.0,1.0,0.0,1.0,0.0,,1.0,60.0,N
7144,5018457,0,0,0,0,0,0,3,0,C,-1,3.0,0,AA,GOOD,F,N,Y,0.0,101250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22059.0,365243.0,1.0,0.0,1.0,0.0,,1.0,60.0,N
7146,5018460,0,0,0,0,0,0,2,0,C,-1,2.0,0,AA,GOOD,F,N,Y,0.0,101250.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22059.0,365243.0,1.0,0.0,1.0,0.0,,1.0,60.0,N
7156,5018472,0,0,0,0,0,0,2,1,C,0,2.0,0,AA,GOOD,F,N,Y,1.0,166500.0,Working,Secondary / secondary special,Married,House / apartment,-20208.0,-8033.0,1.0,0.0,1.0,0.0,,3.0,55.0,Y
7159,5018479,0,0,0,0,0,0,19,4,C,0,19.0,0,AA,GOOD,F,Y,Y,0.0,292500.0,Working,Higher education,Married,House / apartment,-19156.0,-4504.0,1.0,0.0,0.0,0.0,,2.0,52.0,Y
7173,5018498,12,1,1,1,1,11,28,0,C,0,55.0,16,DD,BAD,F,Y,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002.0,1.0,1.0,1.0,0.0,Cooking staff,2.0,51.0,Y
7175,5018501,12,1,1,1,1,11,8,0,C,0,35.0,16,DD,BAD,F,Y,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002.0,1.0,1.0,1.0,0.0,Cooking staff,2.0,51.0,Y
7177,5018503,12,1,1,1,1,11,29,0,C,0,56.0,16,DD,BAD,F,Y,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002.0,1.0,1.0,1.0,0.0,Cooking staff,2.0,51.0,Y
7258,5021303,2,1,0,0,0,12,0,0,5,0,15.0,3,EE,BAD,M,N,N,1.0,472500.0,Pensioner,Higher education,Married,With parents,-8907.0,-913.0,1.0,0.0,0.0,1.0,,3.0,24.0,Y
7259,5021307,0,0,0,0,0,0,3,0,C,0,3.0,0,AA,GOOD,M,N,Y,0.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,-248.0,1.0,0.0,0.0,0.0,Laborers,2.0,46.0,Y
7262,5021310,5,2,2,1,1,8,22,0,C,0,41.0,11,DD,BAD,M,N,Y,0.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,-248.0,1.0,0.0,0.0,0.0,Laborers,2.0,46.0,Y
7263,5021314,5,2,2,1,1,8,16,0,C,0,35.0,11,DD,BAD,M,N,Y,0.0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896.0,-248.0,1.0,0.0,0.0,0.0,Laborers,2.0,46.0,Y
7264,5021315,0,0,0,0,0,0,3,0,C,0,3.0,0,AA,GOOD,M,N,Y,0.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,-248.0,1.0,0.0,0.0,0.0,Laborers,2.0,46.0,Y
7271,5021323,0,0,0,0,0,0,9,17,C,0,9.0,0,AA,GOOD,M,N,Y,0.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,-248.0,1.0,0.0,0.0,0.0,Laborers,2.0,46.0,Y
7323,5021388,0,0,0,0,0,0,15,4,C,-28,15.0,0,AA,GOOD,F,N,Y,1.0,121500.0,Working,Higher education,Married,House / apartment,-11007.0,-762.0,1.0,0.0,0.0,0.0,,3.0,30.0,Y
7346,5021430,5,0,0,0,0,9,0,0,5,-1,14.0,5,EE,BAD,F,N,Y,0.0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,-2470.0,1.0,0.0,0.0,0.0,Sales staff,1.0,51.0,Y
7347,5021431,5,0,0,0,0,9,0,0,5,-9,14.0,5,EE,BAD,F,N,Y,0.0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,-2470.0,1.0,0.0,0.0,0.0,Sales staff,1.0,51.0,Y
7429,5021539,0,0,0,0,0,0,2,0,C,-7,2.0,0,AA,GOOD,F,Y,N,1.0,306000.0,Working,Higher education,Married,House / apartment,-9310.0,-1678.0,1.0,0.0,0.0,0.0,,3.0,25.0,Y
7537,5021691,0,0,0,0,0,0,18,12,C,0,18.0,0,AA,GOOD,M,Y,Y,1.0,225000.0,Working,Incomplete higher,Married,House / apartment,-13205.0,-248.0,1.0,0.0,0.0,0.0,Managers,3.0,36.0,Y
7612,5021795,0,0,0,0,0,0,4,1,C,0,4.0,0,AA,GOOD,F,N,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12325.0,-187.0,1.0,0.0,0.0,0.0,Core staff,2.0,33.0,Y
7614,5021797,0,0,0,0,0,0,26,1,C,0,26.0,0,AA,GOOD,F,N,Y,0.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12325.0,-187.0,1.0,0.0,0.0,0.0,Core staff,2.0,33.0,Y
7629,5021826,0,0,0,0,0,0,3,16,C,0,3.0,0,AA,GOOD,M,N,Y,0.0,270000.0,Commercial associate,Higher education,Married,House / apartment,-15532.0,-1587.0,1.0,0.0,0.0,0.0,High skill tech staff,2.0,42.0,Y
7664,5021868,0,0,0,0,0,0,15,5,C,0,15.0,0,AA,GOOD,F,Y,Y,1.0,315000.0,State servant,Higher education,Widow,House / apartment,-18233.0,-425.0,1.0,0.0,1.0,1.0,,2.0,49.0,Y
7687,5021895,0,0,0,0,0,0,41,8,C,-7,41.0,0,AA,GOOD,F,N,Y,0.0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940.0,365243.0,1.0,0.0,0.0,0.0,,2.0,57.0,N
7688,5021899,0,0,0,0,0,0,40,8,C,0,40.0,0,AA,GOOD,F,N,Y,0.0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940.0,365243.0,1.0,0.0,0.0,0.0,,2.0,57.0,N
7690,5021901,0,0,0,0,0,0,40,8,C,0,40.0,0,AA,GOOD,F,N,Y,0.0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940.0,365243.0,1.0,0.0,0.0,0.0,,2.0,57.0,N
7691,5021902,0,0,0,0,0,0,18,8,C,0,18.0,0,AA,GOOD,F,N,Y,0.0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940.0,365243.0,1.0,0.0,0.0,0.0,,2.0,57.0,N
7692,5021903,0,0,0,0,0,0,6,8,C,0,6.0,0,AA,GOOD,F,N,Y,0.0,328500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940.0,365243.0,1.0,0.0,0.0,0.0,,2.0,57.0,N
7713,5021931,0,0,0,0,0,0,27,1,C,-4,27.0,0,AA,GOOD,F,N,Y,0.0,67500.0,Pensioner,Higher education,Married,House / apartment,-22212.0,365243.0,1.0,0.0,0.0,0.0,,2.0,60.0,N
7715,5021935,0,0,0,0,0,0,16,1,C,0,16.0,0,AA,GOOD,F,N,Y,0.0,67500.0,Pensioner,Higher education,Married,House / apartment,-22212.0,365243.0,1.0,0.0,0.0,0.0,,2.0,60.0,N
7718,5021938,0,0,0,0,0,0,27,1,C,-33,27.0,0,AA,GOOD,F,N,Y,0.0,67500.0,Pensioner,Higher education,Married,House / apartment,-22212.0,365243.0,1.0,0.0,0.0,0.0,,2.0,60.0,N
7767,5021998,10,1,1,1,1,1,0,0,5,0,15.0,14,DD,BAD,M,N,Y,0.0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18863.0,-1644.0,1.0,0.0,0.0,1.0,,2.0,51.0,Y
